 433004 191359 1188.42483   55   22 1189.52852 1168.67784  1.75%  16.7 1000s
 433769 191584 1178.08343   46    8 1189.52852 1168.68568  1.75%  16.7 1005s
 434516 191706 1176.75019   40   20 1189.52852 1168.69222  1.75%  16.7 1010s
 435401 191969 infeasible   47      1189.52852 1168.69750  1.75%  16.7 1016s
 436350 192222 infeasible   46      1189.52852 1168.70639  1.75%  16.7 1021s
 436932 192366 1184.46256   43   11 1189.52852 1168.71156  1.75%  16.7 1025s
 438114 192671 infeasible   54      1189.52852 1168.72320  1.75%  16.7 1030s
 439115 192861 1187.41091   50   10 1189.52852 1168.73230  1.75%  16.7 1035s
 440042 193098 1177.82996   69   15 1189.52852 1168.74112  1.75%  16.7 1040s
 441472 193465 1180.76006   28   28 1189.52852 1168.75695  1.75%  16.7 1045s
 443080 193818 1185.63766   41   23 1189.52852 1168.76861  1.75%  16.8 1050s
 444837 194369 infeasible   47      1189.52852 1168.78209  1.74%  16.8 1055s
 446569 194747 1181.51571   43   27 1189.52852 1168.80043  1.74%  16.8 1060s
 448950 195298 infeasible   46      1189.52852 1168.82705  1.74%  16.8 1065s
 450400 195626 1179.59574   45   23 1189.52852 1168.84486  1.74%  16.8 1071s
 451382 195838 1178.87060   43   18 1189.52852 1168.85506  1.74%  16.8 1075s
 452909 196132 1179.28006   43   23 1189.52852 1168.87668  1.74%  16.8 1080s
 454696 196670 infeasible   53      1189.52852 1168.89709  1.73%  16.8 1085s
 456095 197060 1189.06733   41   23 1189.52852 1168.91064  1.73%  16.8 1090s
 457488 197568 1187.14521   46   19 1189.52852 1168.91611  1.73%  16.8 1095s
 459835 198124 infeasible   69      1189.52852 1168.93574  1.73%  16.8 1100s
 462164 198802 1179.16275   75   33 1189.52852 1168.95523  1.73%  16.9 1105s
 464896 199605 1177.61184   37   29 1189.52852 1168.97817  1.73%  16.9 1110s
 466890 200107 infeasible   65      1189.52852 1169.00063  1.73%  16.9 1115s
 468648 200787 1181.39324   39   31 1189.52852 1169.00855  1.73%  16.9 1120s
 470737 201747 1177.46442   36   22 1189.52852 1169.00855  1.73%  16.9 1125s
 472701 202786 1173.59388   35   32 1189.52852 1169.00855  1.73%  16.9 1130s
 474713 203630 1172.73823   41   13 1189.52852 1169.00855  1.73%  16.9 1135s
 476474 204480 1180.47540   64   24 1189.52852 1169.00855  1.73%  16.9 1140s
 478533 205508 1173.88067   43   32 1189.52852 1169.00855  1.73%  16.9 1145s
 480948 206728 1178.08274   48   32 1189.52852 1169.00855  1.73%  17.0 1150s
 483285 207969     cutoff   63      1189.52852 1169.01191  1.72%  17.0 1156s
 484495 208552 1183.58802   53   28 1189.52852 1169.01392  1.72%  17.0 1160s
 486403 209106 1173.80109   47   31 1189.52852 1169.01991  1.72%  17.0 1165s
